Taxon_id,Official_name_NCBI
1657,Actinobaculumsuis
1660,Schaaliaodontolytica
1661,Trueperellapyogenes
1681,Bifidobacteriumbifidum
1683,Bifidobacteriumangulatum
1685,Bifidobacteriumbreve
1687,Bifidobacteriumcoryneforme
1688,Bifidobacteriumcuniculi
1692,Bifidobacteriummagnum
1693,Bifidobacteriumminimum
1697,Corynebacteriumammoniagenes
1703,Brevibacteriumlinens
1705,Corynebacteriumstationis
1713,Oerskoviaturbata
1724,Corynebacteriumrenale
1725,Corynebacteriumxerosis
1732,Eubacteriumoxidoreducens
1736,Eubacteriumlimosum
1747,Cutibacteriumacnes
1765,variantbovis
1766,Mycolicibacteriumfortuitum
1768,Mycobacteriumkansasii
1771,Mycolicibacteriumphlei
1774,Mycobacteroideschelonae
1776,Mycolicibacteriumflavescens
1777,Mycobacteriumgastri
1778,Mycobacteriumgordonae
1780,Mycobacteriummalmoense
1782,Mycolicibacternonchromogenicus
1783,Mycobacteriumscrofulaceum
1784,Mycobacteriumsimiae
1787,Mycobacteriumszulgai
1788,Mycolicibacterterrae
1789,Mycobacteriumxenopi
1790,Mycobacteriumasiaticum
1791,Mycolicibacteriumaurum
1793,Mycolicibacteriumfallax
1795,Mycolicibacteriumneoaurum
1796,Mycolicibacteriumsenegalense
1797,Mycolicibacteriumthermoresistibile
1798,Mycolicibacillustrivialis
1801,Mycolicibacteriumdiernhoferi
1806,variantmicroti
1807,Mycolicibacteriumobuense
1824,Nocardiaasteroides
1829,Rhodococcusrhodochrous
1833,Rhodococcuserythropolis
1844,Nocardioidesluteus
1848,Pseudonocardiathermophila
1869,Actinoplanesutahensis
1888,Streptomycesalbus
1889,Streptomycesambofaciens
1890,Streptomycesantibioticus
1893,Streptomycesatratus
1894,Kitasatosporaaureofaciens
1896,Streptomycesbikiniensis
1901,Streptomycesclavuligerus
1905,Streptomycesexfoliatus
1906,Streptomycesfradiae
1907,Streptomycesglaucescens
1911,Streptomycesgriseus
1915,Streptomyceslincolnensis
1935,Streptomycesviolaceoruber
1943,Streptomycesgriseoruber
1957,Streptomycessclerotialus
1963,Streptomycesolivochromogenes
1968,Streptomycescellulosae
1993,Actinomaduramadurae
1996,Microtetrasporaglauca
2002,Streptosporangiumamethystogenes
2017,Streptoalloteichushindustanus
2035,Curtobacteriumflaccumfaciens
2036,Curtobacteriumcitreum
2041,Aeromicrobiumerythreum
2045,Pimelobactersimplex
2055,Gordoniaterrae
2064,Kitasatosporagriseola
2074,Pseudonocardiaautotrophica
2094,Mycoplasmaarginini
2100,Mycoplasmahyorhinis
2113,Mycoplasmacalifornicum
2133,Spiroplasmacitri
2138,Spiroplasmapoulsonii
2162,Methanobacteriumformicicum
2177,Methanohalophilushalophilus
2200,Methanoculleusthermophilus
2309,Pyrodictiumoccultum
2325,Thermoanaerobacterkivui
2340,Solemyavelum
2342,CandidatusSodalis
2423,Fervidobacteriumislandicum
2702,Gardnerellavaginalis
2711,Citrussinensis
2718,Cardiobacteriumhominis
2741,Peptococcusniger
2748,Carnobacteriumdivergens
2754,Synergistesjonesii
2756,Brochothrixthermosphacta
2769,Chondruscrispus
2880,Ectocarpussiliculosus
2903,Emilianiahuxleyi
3055,Chlamydomonasreinhardtii
3068,Volvoxcarteri
3075,Auxenochlorellaprotothecoides
3076,Chlorellasorokiniana
3088,Tetradesmusobliquus
3218,Physcomitrellapatens
3469,Papaversomniferum
3476,Parasponiaandersonii
3562,Spinaciaoleracea
3635,Gossypiumhirsutum
3641,Theobromacacao
3659,Cucumissativus
3694,Populustrichocarpa
3702,Arabidopsisthaliana
3708,Brassicanapus
3750,Malusdomestica
3760,Prunuspersica
3775,Cephalotusfollicularis
3818,Arachishypogaea
3821,Cajanuscajan
3827,Cicerarietinum
3847,Glycinemax
3871,Lupinusangustifolius
3880,Medicagotruncatula
3885,Phaseolusvulgaris
3914,Vignaangularis
3916,Vignaradiata
3983,Manihotesculenta
3988,Ricinuscommunis
4072,Capsicumannuum
4081,Solanumlycopersicum
4096,Nicotianasylvestris
4097,Nicotianatabacum
4113,Solanumtuberosum
4155,Erythrantheguttata
4232,Helianthusannuus
4236,Lactucasativa
4432,Nelumbonucifera
4529,Oryzarufipogon
4533,Oryzabrachyantha
4536,f.spontanea
4537,Oryzapunctata
4538,Oryzaglaberrima
4540,Panicummiliaceum
4555,Setariaitalica
4558,Sorghumbicolor
4565,Triticumaestivum
4572,Triticumurartu
4577,Zeamays
4615,Ananascomosus
4779,Bremialactucae
4781,Plasmoparahalstedii
4790,Phytophthoranicotianae
4795,Phytophthoramegakarya
4829,Absidiaglauca
4846,Rhizopusstolonifer
4909,Pichiakudriavzevii
4932,Saccharomycescerevisiae
4955,Lachanceafermentati
4999,Kockovaellaimperatae
5007,Brettanomycesbruxellensis
5078,Penicilliumgriseofulvum
5098,Monascuspurpureus
5217,Tremellamesenterica
5286,Rhodotorulatoruloides
5288,Rhodotoruladiobovata
5353,Lentinulaedodes
5364,Heliocybesulcata
5454,Ascochytarabiei
5466,Colletotrichumtrifolii
5486,Candidaviswanathii
5514,Fusariumsporotrichioides
5539,Scytalidiumlignicola
5599,Alternariaalternata
5601,Phialophoraamericana
5627,Grifolafrondosa
5643,Trametescinnabarina
5660,Leishmaniabraziliensis
5664,Leishmaniamajor
5671,Leishmaniainfantum
5722,Trichomonasvaginalis
5759,Entamoebahistolytica
5762,Naegleriagruberi
5786,Dictyosteliumpurpureum
5823,Plasmodiumberghei
5851,Plasmodiumknowlesi
5865,Babesiabovis
5866,Babesiabigemina
5874,Theileriaannulata
5875,Theileriaparva
5888,Parameciumtetraurelia
6182,Schistosomajaponicum
6183,Schistosomamansoni
6184,Schistosomabovis
6185,Schistosomahaematobium
6186,Schistosomacurassoni
6188,Schistosomarodhaini
6198,Opisthorchisviverrini
6205,Hydatigerataeniaeformis
6210,Echinococcusgranulosus
6211,Echinococcusmultilocularis
6216,Hymenolepisdiminuta
6238,Caenorhabditisbriggsae
6239,Caenorhabditiselegans
6248,Strongyloidesstercoralis
6265,Toxocaracanis
6277,Acanthocheilonemaviteae
6279,Brugiamalayi
6280,Brugiapahangi
6282,Onchocercavolvulus
6290,Haemonchusplacei
6293,Wuchereriabancrofti
6313,Angiostrongyluscantonensis
6334,Trichinellaspiralis
6335,Trichinellanativa
6336,Trichinellanelsoni
6337,Trichinellapseudospiralis
6412,Helobdellarobusta
6526,Biomphalariaglabrata
6573,Mizuhopectenyessoensis
6669,Daphniapulex
6689,Penaeusvannamei
6832,Tigriopuscalifornicus
6945,Ixodesscapularis
6973,Blattellagermanica
7029,Acyrthosiphonpisum
7070,Triboliumcastaneum
7091,Bombyxmori
7102,Heliothisvirescens
7159,Aedesaegypti
7160,Aedesalbopictus
7165,Anophelesgambiae
7167,Anophelesalbimanus
7168,Anophelesdirus
7176,Culexquinquefasciatus
7209,Loaloa
7217,Drosophilaananassae
7222,Drosophilagrimshawi
7227,Drosophilamelanogaster
7232,Drosophilanavojoa
7234,Drosophilapersimilis
7238,Drosophilasechellia
7240,Drosophilasimulans
7244,Drosophilavirilis
7260,Drosophilawillistoni
7266,Drosophilaguanche
7370,Muscadomestica
7375,Luciliacuprina
7395,Glossinaausteni
7398,Glossinapallidipes
7425,Nasoniavitripennis
7460,Apismellifera
7574,Lingulaanatina
7668,Strongylocentrotuspurpuratus
7719,Cionaintestinalis
7739,Branchiostomafloridae
7757,Petromyzonmarinus
7764,Eptatretusburgeri
7868,Callorhinchusmilii
7897,Latimeriachalumnae
7918,Lepisosteusoculatus
7950,Clupeaharengus
7955,Daniorerio
7994,Astyanaxmexicanus
7998,Ictaluruspunctatus
8005,Electrophoruselectricus
8010,Esoxlucius
8022,Oncorhynchusmykiss
8030,Salmosalar
8032,Salmotrutta
8049,Gadusmorhua
8078,Fundulusheteroclitus
8081,Poeciliareticulata
8083,Xiphophorusmaculatus
8090,Oryziaslatipes
8128,Oreochromisniloticus
8153,Haplochromisburtoni
8154,Astatotilapiacalliptera
8167,Percaflavescens
8175,Sparusaurata
8187,Latescalcarifer
8355,Xenopuslaevis
8364,Xenopustropicalis
8469,Cheloniamydas
8478,Chrysemyspicta
8496,Alligatormississippiensis
8502,Crocodylusporosus
8508,Sphenodonpunctatus
8663,Notechisscutatus
8673,Pseudonajatextilis
8790,Dromaiusnovaehollandiae
8823,Apteryxhaastii
8824,Apteryxowenii
8840,Anasplatyrhynchos
8845,Ansercygnoides
8932,Columbalivia
8996,Numidameleagris
9009,Callipeplasquamata
9014,Colinusvirginianus
9031,Gallusgallus
9049,Pavocristatus
9054,Phasianuscolchicus
9089,Chrysolophuspictus
9103,Meleagrisgallopavo
9135,Serinuscanaria
9157,Parusmajor
9233,Aptenodytesforsteri
9238,Pygoscelisadeliae
9244,Calypteanna
9258,Ornithorhynchusanatinus
9305,Sarcophilusharrisii
9315,Notamacropuseugenii
9358,Choloepushoffmanni
9361,Dasypusnovemcinctus
9365,Erinaceuseuropaeus
9371,Echinopstelfairi
9402,Pteropusalecto
9483,Callithrixjacchus
9516,Cebuscapucinus
9531,Cercocebusatys
9541,Macacafascicularis
9544,Macacamulatta
9545,Macacanemestrina
9555,Papioanubis
9565,Theropithecusgelada
9568,Mandrillusleucophaeus
9593,Gorillagorilla
9597,Panpaniscus
9598,Pantroglodytes
9601,Pongoabelii
9606,Homosapiens
9615,familiarisCanis
9627,Vulpesvulpes
9643,Ursusamericanus
9646,Ailuropodamelanoleuca
9669,Mustelaputorius
9685,Feliscatus
9691,Pantherapardus
9708,Odobenusrosmarus
9713,Leptonychotesweddellii
9739,Tursiopstruncatus
9749,Delphinapterusleucas
9755,Physetercatodon
9785,Loxodontaafricana
9796,Equuscaballus
9813,Procaviacapensis
9823,Susscrofa
9838,Camelusdromedarius
9913,Bostaurus
9925,Caprahircus
9940,Ovisaries
9978,Ochotonaprinceps
9986,Oryctolaguscuniculus
9994,Marmotamarmota
9999,Urocitellusparryii
10020,Dipodomysordii
10029,Cricetulusgriseus
10036,Mesocricetusauratus
10047,Merionesunguiculatus
10089,Muscaroli
